Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     4530     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00     4530     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00     4530     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00     4317     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00     4061     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00     3636     0.00     0.00  __gnu_cxx::__normal_iterator<Obstacles**, std::vector<Obstacles*, std::allocator<Obstacles*> > >::__normal_iterator(Obstacles** const&)
  0.00      0.00     0.00     3462     0.00     0.00  std::_Head_base<0ul, Drawable*, false>::_M_head(std::_Head_base<0ul, Drawable*, false>&)
  0.00      0.00     0.00     3462     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_M_head(std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     3462     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::_M_ptr()
  0.00      0.00     0.00     3462     0.00     0.00  Drawable*& std::__get_helper<0ul, Drawable*, std::default_delete<Drawable> >(std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     3462     0.00     0.00  std::tuple_element<0ul, std::tuple<Drawable*, std::default_delete<Drawable> > >::type& std::get<0ul, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     3275     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     3269     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >&& std::forward<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::remove_reference<std::unique_ptr<Drawable, std::default_delete<Drawable> > >::type&)
  0.00      0.00     0.00     3225     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00     3225     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00     3222     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.00     0.00     3222     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.00     0.00     3104     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00     3076     0.00     0.00  std::vector<Drawable*, std::allocator<Drawable*> >::size() const
  0.00      0.00     0.00     3013     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::base() const
  0.00      0.00     0.00     2898     0.00     0.00  std::vector<Drawable*, std::allocator<Drawable*> >::operator[](unsigned long)
  0.00      0.00     0.00     2748     0.00     0.00  std::_Head_base<0ul, TankDrawable*, false>::_M_head(std::_Head_base<0ul, TankDrawable*, false>&)
  0.00      0.00     0.00     2748     0.00     0.00  std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >::_M_head(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00     2748     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::_M_ptr()
  0.00      0.00     0.00     2748     0.00     0.00  TankDrawable*& std::__get_helper<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00     2748     0.00     0.00  std::tuple_element<0ul, std::tuple<TankDrawable*, std::default_delete<TankDrawable> > >::type& std::get<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::tuple<TankDrawable*, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00     2639     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00     2610     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::get() const
  0.00      0.00     0.00     2610     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::_M_ptr() const
  0.00      0.00     0.00     2610     0.00     0.00  std::_Head_base<0ul, TankDrawable*, false>::_M_head(std::_Head_base<0ul, TankDrawable*, false> const&)
  0.00      0.00     0.00     2610     0.00     0.00  std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >::_M_head(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> > const&)
  0.00      0.00     0.00     2610     0.00     0.00  TankDrawable* const& std::__get_helper<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> > const&)
  0.00      0.00     0.00     2610     0.00     0.00  std::tuple_element<0ul, std::tuple<TankDrawable*, std::default_delete<TankDrawable> > >::type const& std::get<0ul, TankDrawable*, std::default_delete<TankDrawable> >(std::tuple<TankDrawable*, std::default_delete<TankDrawable> > const&)
  0.00      0.00     0.00     2540     0.00     0.00  ActorInfo* std::__addressof<ActorInfo>(ActorInfo&)
  0.00      0.00     0.00     2457     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.00     0.00     2318     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::~unique_ptr()
  0.00      0.00     0.00     2265     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      0.00     0.00     2265     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00     2265     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.00     0.00     2180     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::get() const
  0.00      0.00     0.00     2180     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::_M_ptr() const
  0.00      0.00     0.00     2180     0.00     0.00  std::_Head_base<0ul, Drawable*, false>::_M_head(std::_Head_base<0ul, Drawable*, false> const&)
  0.00      0.00     0.00     2180     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_M_head(std::_Head_base<1ul, std::default_delete<Drawable>, true>&)
  0.00      0.00     0.00     2180     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::get_deleter()
  0.00      0.00     0.00     2180     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_M_head(std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.00     0.00     2180     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Drawable> >::_M_head(std::_Tuple_impl<1ul, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     2180     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::_M_deleter()
  0.00      0.00     0.00     2180     0.00     0.00  Drawable* const& std::__get_helper<0ul, Drawable*, std::default_delete<Drawable> >(std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.00     0.00     2180     0.00     0.00  std::default_delete<Drawable>& std::__get_helper<1ul, std::default_delete<Drawable>>(std::_Tuple_impl<1ul, std::default_delete<Drawable>>&)
  0.00      0.00     0.00     2180     0.00     0.00  std::tuple_element<0ul, std::tuple<Drawable*, std::default_delete<Drawable> > >::type const& std::get<0ul, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> > const&)
  0.00      0.00     0.00     2180     0.00     0.00  std::tuple_element<1ul, std::tuple<Drawable*, std::default_delete<Drawable> > >::type& std::get<1ul, Drawable*, std::default_delete<Drawable> >(std::tuple<Drawable*, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     2134     0.00     0.00  std::_Head_base<0ul, Drawable*, false>::_Head_base<Drawable*&>(Drawable*&)
  0.00      0.00     0.00     2126     0.00     0.00  __gnu_cxx::__promote_2<int, double, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type>::__type std::pow<int, double>(int, double)
  0.00      0.00     0.00     2033     0.00     0.00  std::vector<ActorInfo, std::allocator<ActorInfo> >::size() const
  0.00      0.00     0.00     1932     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.00     0.00     1831     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00     1820     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.00     0.00     1820     0.00     0.00  int* std::__niter_base<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      0.00     0.00     1818     0.00     0.00  std::vector<Obstacles*, std::allocator<Obstacles*> >::end()
  0.00      0.00     0.00     1818     0.00     0.00  std::vector<Obstacles*, std::allocator<Obstacles*> >::begin()
  0.00      0.00     0.00     1740     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::operator->() const
  0.00      0.00     0.00     1736     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.00     0.00     1736     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.00     0.00     1736     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.00     0.00     1736     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.00     0.00     1733     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.00     0.00     1658     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::__normal_iterator(ActorInfo* const&)
  0.00      0.00     0.00     1628     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.00     0.00     1623     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1614     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     1614     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00     1614     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00     1611     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00     1611     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00     1432     0.00     0.00  bool __gnu_cxx::operator!=<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >(__gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&, __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&)
  0.00      0.00     0.00     1408     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00     1408     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00     1408     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00     1408     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00     1386     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::size() const
  0.00      0.00     0.00     1297     0.00     0.00  ActorInfo const& std::forward<ActorInfo const&>(std::remove_reference<ActorInfo const&>::type&)
  0.00      0.00     0.00     1267     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::operator++()
  0.00      0.00     0.00     1267     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::operator*() const
  0.00      0.00     0.00     1258     0.00     0.00  void std::_Destroy<ActorInfo>(ActorInfo*)
  0.00      0.00     0.00     1231     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00     1231     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00     1208     0.00     0.00  void std::_Construct<ActorInfo, ActorInfo const&>(ActorInfo*, ActorInfo const&)
  0.00      0.00     0.00     1201     0.00     0.00  Drawable::Drawable()
  0.00      0.00     0.00     1128     0.00     0.00  std::remove_reference<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>::type&& std::move<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>(std::unique_ptr<Drawable, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     1114     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >* std::__addressof<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     1098     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_Head_base<std::default_delete<Drawable> >(std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::release()
  0.00      0.00     0.00     1098     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::unique_ptr(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_Tuple_impl<Drawable*&, std::default_delete<Drawable>, void>(Drawable*&, std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Drawable> >::_Tuple_impl<std::default_delete<Drawable> >(std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::__uniq_ptr_impl<std::default_delete<Drawable> >(Drawable*, std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::tuple<Drawable*, std::default_delete<Drawable> >::tuple<Drawable*&, std::default_delete<Drawable>, true>(Drawable*&, std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  void std::_Destroy<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >*)
  0.00      0.00     0.00     1082     0.00     0.00  Drawable::~Drawable()
  0.00      0.00     0.00     1082     0.00     0.00  void __gnu_cxx::new_allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > >::construct<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::operator->() const
  0.00      0.00     0.00     1082     0.00     0.00  std::default_delete<Drawable>::operator()(Drawable*) const
  0.00      0.00     0.00     1082     0.00     0.00  void std::allocator_traits<std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::construct<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > >&, std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  void std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::emplace_back<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::push_back(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::operator[](unsigned long)
  0.00      0.00     0.00     1062     0.00     0.00  Game::convertGLXCoordinate(int)
  0.00      0.00     0.00     1062     0.00     0.00  Game::convertGLYCoordinate(int)
  0.00      0.00     0.00     1008     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::~unique_ptr()
  0.00      0.00     0.00      894     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.00     0.00      883     0.00     0.00  GameField::getTurnCount()
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::setMax_health(int)
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::draw(int, int)
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::setHealth(int)
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::TankDrawable(int, float, float, direction, int, int, float, float, bool)
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<0ul, TankDrawable*, false>::_Head_base()
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<1ul, std::default_delete<TankDrawable>, true>::_M_head(std::_Head_base<1ul, std::default_delete<TankDrawable>, true>&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<1ul, std::default_delete<TankDrawable>, true>::_Head_base()
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_Head_base<std::default_delete<TankDrawable> >(std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::get_deleter()
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::release()
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::unique_ptr<std::default_delete<TankDrawable>, void>(TankDrawable*)
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::unique_ptr<TankDrawable, std::default_delete<TankDrawable>, void>(std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >&&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >::_Tuple_impl()
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_Tuple_impl<Drawable*&, std::default_delete<TankDrawable>, void>(Drawable*&, std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<TankDrawable> >::_M_head(std::_Tuple_impl<1ul, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<TankDrawable> >::_Tuple_impl()
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Drawable> >::_Tuple_impl<std::default_delete<TankDrawable> >(std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::default_delete<Drawable>::default_delete<TankDrawable, void>(std::default_delete<TankDrawable> const&)
  0.00      0.00     0.00      870     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::_M_deleter()
  0.00      0.00     0.00      870     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::__uniq_ptr_impl(TankDrawable*)
  0.00      0.00     0.00      870     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::__uniq_ptr_impl<std::default_delete<TankDrawable> >(Drawable*, std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::tuple<TankDrawable*, std::default_delete<TankDrawable> >::tuple<TankDrawable*, std::default_delete<TankDrawable>, true>()
  0.00      0.00     0.00      870     0.00     0.00  std::tuple<Drawable*, std::default_delete<Drawable> >::tuple<Drawable*&, std::default_delete<TankDrawable>, true>(Drawable*&, std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::default_delete<TankDrawable>& std::__get_helper<1ul, std::default_delete<TankDrawable>>(std::_Tuple_impl<1ul, std::default_delete<TankDrawable>>&)
